ticker,company_name,sector,current_price,target_ev_ebitda,peer_median_ev_ebitda,implied_price,upside_pct,n_peers,acquirability_score
AAPL,Apple Inc.,Information Technology,284.260009765625,34.220279509083326,48.05832788454177,400.35095007036654,40.83970179289713,5,65.14
ACN,Accenture,Information Technology,177.47000122070312,10.487667974714459,21.73776793756722,360.8958750193009,103.3559883568648,12,64.52
JNJ,Johnson & Johnson,Health Care,223.5050048828125,25.890020276593916,18.753622003651316,160.5105474954658,-28.184808398530393,8,56.81
PG,Procter & Gamble,Consumer Staples,147.19000244140625,18.391053467609176,29.87530042137197,245.26431110518294,66.63109384947414,6,65.69
XOM,ExxonMobil,Energy,147.80999755859375,13.571196446673977,24.985173041726554,275.91527476126635,86.66888527069358,7,53.3
JPM,JPMorgan Chase,Financials,,,,,,5,50.13
AMT,American Tower,Real Estate,180.66000366210935,156.95839823829294,55.02994600091512,5.766642630889935,-96.80801366434413,9,52.34
CAT,Caterpillar Inc.,Industrials,921.3900146484376,31.153005569252187,26.171693583236717,766.1079425868184,-16.853023105624622,8,60.38
ADBE,Adobe Inc.,Information Technology,251.9600067138672,13.151642196743941,26.582509411907978,503.5644761676576,99.85889139125142,12,80.0
KO,Coca-Cola Company (The),Consumer Staples,78.76000213623047,36.91098122826001,20.98699305695299,41.778447222250634,-46.954740872166525,6,52.36
